Main Head,Main Relation,Main Tail,Sub Head,Sub Relation,Sub Tail,Relation to Main,Paragraph ID
Bipolar disorders,feature,episodes of mania and depression.,Bipolar disorders,feature,episodes of mania and depression.,Bipolar disorders feature episodes of mania and depression.,1
Patients with bipolar disorders,often show a predominance of,either mania or depression.,Patients with bipolar disorders,often show a predominance of,either mania or depression.,Patients with bipolar disorders often show a predominance of either mania or depression.,2
The exact cause,is,unknown.,The exact cause,is,unknown.,The exact cause is unknown.,3
Heredity,may contribute to,the development of bipolar disorders.,Heredity,may contribute to,the development of bipolar disorders.,Heredity may contribute to the development of bipolar disorders.,4
Changes in brain neurotransmitter levels,may play a role,in bipolar disorders.,Changes in brain neurotransmitter levels,may play a role,in bipolar disorders.,Changes in brain neurotransmitter levels may play a role in bipolar disorders.,5
Psychosocial factors,may influence,the occurrence of bipolar disorders.,Psychosocial factors,may influence,the occurrence of bipolar disorders.,Psychosocial factors may influence the occurrence of bipolar disorders.,6
Diagnosis of bipolar disorders,is made based on,the patient's history.,Diagnosis of bipolar disorders,is made based on,the patient's history.,Diagnosis of bipolar disorders is made based on the patient's history.,7
Treatment for bipolar disorders,includes,mood-stabilizing medications.,Treatment for bipolar disorders,includes,mood-stabilizing medications.,Treatment for bipolar disorders includes mood-stabilizing medications.,8
Psychotherapy,may be used in conjunction with medications,to treat bipolar disorders.,Psychotherapy,may be used in conjunction with medications,to treat bipolar disorders.,Psychotherapy may be used in conjunction with medications to treat bipolar disorders.,9
Bipolar disorders,typically start during,"teenage years, 20s, or 30s.",Bipolar disorders,typically start during,"teenage years, 20s, or 30s.","Bipolar disorders typically start during teenage years, 20s, or 30s.",10
Bipolar Disorder in Children and Adolescents,provides,additional information on early onset.,Bipolar Disorder in Children and Adolescents,provides,additional information on early onset.,Bipolar Disorder in Children and Adolescents provides additional information on early onset.,11
The lifetime prevalence of bipolar disorders,is,around 2%.,The lifetime prevalence of bipolar disorders,is,around 2%.,The lifetime prevalence of bipolar disorders is around 2%.,12
Reference (1),indicates,the source for the lifetime prevalence statistic.,Reference (1),indicates,the source for the lifetime prevalence statistic.,Reference (1) indicates the source for the lifetime prevalence statistic.,13
Bipolar disorders,include,Bipolar I disorder.,Bipolar disorders,include,Bipolar I disorder.,Bipolar disorders include Bipolar I disorder.,14
Bipolar disorders,include,Bipolar II disorder.,Bipolar disorders,include,Bipolar II disorder.,Bipolar disorders include Bipolar II disorder.,15
Bipolar disorders,include,Substance-/medication-induced bipolar disorder.,Bipolar disorders,include,Substance-/medication-induced bipolar disorder.,Bipolar disorders include Substance-/medication-induced bipolar disorder.,16
Bipolar disorders,include,Bipolar and related disorder due to another medical condition.,Bipolar disorders,include,Bipolar and related disorder due to another medical condition.,Bipolar disorders include Bipolar and related disorder due to another medical condition.,17
Bipolar disorders,include,Unspecified bipolar disorder.,Bipolar disorders,include,Unspecified bipolar disorder.,Bipolar disorders include Unspecified bipolar disorder.,18
Cyclothymic disorder,involves,patients having prolonged periods (> 2-year) with hypomanic and depressive episodes.,Cyclothymic disorder,involves,patients having prolonged periods (> 2-year) with hypomanic and depressive episodes.,Cyclothymic disorder involves patients having prolonged periods (> 2-year) with hypomanic and depressive episodes.,19
Episodes in cyclothymic disorder,do not meet,the criteria for bipolar or major depressive disorder.,Episodes in cyclothymic disorder,do not meet,the criteria for bipolar or major depressive disorder.,Episodes in cyclothymic disorder do not meet the criteria for bipolar or major depressive disorder.,20
The exact cause,remains,unknown.,The exact cause,remains,unknown.,The exact cause remains unknown.,21
Heredity,significantly influences,the development of bipolar disorder.,Heredity,significantly influences,the development of bipolar disorder.,Heredity significantly influences the development of bipolar disorder.,22
"Dysregulation of neurotransmitters serotonin, norepinephrine, and dopamine",is evident,in bipolar disorder.,"Dysregulation of neurotransmitters serotonin, norepinephrine, and dopamine",is evident,in bipolar disorder.,"Dysregulation of neurotransmitters serotonin, norepinephrine, and dopamine is evident in bipolar disorder.",23
Psychosocial factors,may contribute to,bipolar disorder.,Psychosocial factors,may contribute to,bipolar disorder.,Psychosocial factors may contribute to bipolar disorder.,24
Stressful life events,correlate with,the onset and worsening of bipolar disorder symptoms.,Stressful life events,correlate with,the onset and worsening of bipolar disorder symptoms.,Stressful life events correlate with the onset and worsening of bipolar disorder symptoms.,25
The relationship,is,unclear between cause and effect in stress and bipolar disorder.,The relationship,is,unclear between cause and effect in stress and bipolar disorder.,The relationship is unclear between cause and effect in stress and bipolar disorder.,26
Sympathomimetics like cocaine and amphetamines,can trigger,exacerbations in bipolar disorder.,Sympathomimetics like cocaine and amphetamines,can trigger,exacerbations in bipolar disorder.,Sympathomimetics like cocaine and amphetamines can trigger exacerbations in bipolar disorder.,27
Alcohol,may provoke,symptom exacerbations in individuals with bipolar disorder.,Alcohol,may provoke,symptom exacerbations in individuals with bipolar disorder.,Alcohol may provoke symptom exacerbations in individuals with bipolar disorder.,28
Corticosteroids,are potential triggers for,exacerbations in bipolar disorder.,Corticosteroids,are potential triggers for,exacerbations in bipolar disorder.,Corticosteroids are potential triggers for exacerbations in bipolar disorder.,29
